"Date","# of Unique Logins","# of New Contacts","# of New Tickets","# of New Calls","# of New Meetings",
"01st December 2019 (Sunday)","1","156","3","6","0",
"02nd December 2019 (Monday)","24","216","37","1076","0",
"03rd December 2019 (Tuesday)","22","206","20","1078","0",
"04th December 2019 (Wednesday)","22","205","10","1163","0",
"05th December 2019 (Thursday)","21","338","15","980","0",
"06th December 2019 (Friday)","16","316","8","757","0",
"07th December 2019 (Saturday)","1","264","3","11","0",
"08th December 2019 (Sunday)","1","248","5","3","0",
"09th December 2019 (Monday)","24","302","4","1188","0",
"10th December 2019 (Tuesday)","21","301","25","1197","0",
"11th December 2019 (Wednesday)","21","347","13","1020","0",
"12th December 2019 (Thursday)","22","311","10","319","0",
"13th December 2019 (Friday)","18","292","11","881","0",
